interview_id,interview_date,org,interviewee,role,module,ran_by,capture_mode,question_id,question_text,answer_verbatim,source_note,flags
H12-2026-07-29,2026-07-29,Highway 12,not recorded,Tasting-room or DTC manager,1,Alexa Kornau,form-live,W8,"W8. For any lesser-known grapes or unusual bottlings you make, how do their sell-through and margin compare with your flagship, and who buys them?","They sell wine, wine skins for those travel - really only wine and wine accesories. Don't have lot of space for retail - people are always looking for shirts or other accessories",2026-07-29-highway-12-notes.md,"answer-mismatch: describes merchandise, not lesser-known grapes"
H12-2026-07-29,2026-07-29,Highway 12,not recorded,Tasting-room or DTC manager,1,Alexa Kornau,form-live,W9,"W9. What share of your revenue is direct versus wholesale, how has that share moved over three years, and what happened to total revenue as it shifted?","He knows what they send out to restaurant sand liquor stores and wholesale is more than direct. Usually have 3 bottle sof wine at costco, also a special label at grovcery outlet, also have a label at wine roads that goes to stores. Without knowing the exact numbers he would say a significant volume goes to wholesale. Their numbers are trending up as part of overall sales. And part of that is his activity on reaching out to club members

The atsting room is where 

They source their fruit - they make all of their fruit (michael sebastiani is in charge) they don't buy any fruit from anywerhe else. Has great contracts because he's been arund for so long",2026-07-29-highway-12-notes.md,
H12-2026-07-29,2026-07-29,Highway 12,not recorded,Tasting-room or DTC manager,1,Alexa Kornau,form-live,W10,"W10. Which wineries do you notice doing best right now, whatever their size, and what do you see them doing differently?","2 that he thinks are doing well: 3 sticks (always full, difficult to get a reservation)

Donnum is doing well also",2026-07-29-highway-12-notes.md,
H12-2026-07-29,2026-07-29,Highway 12,not recorded,Tasting-room or DTC manager,1,Alexa Kornau,form-live,W11,"W11. Since the 2025 crush, have you changed where you get your fruit, bought any grapes on the spot market, or renegotiated contracts?",Don't know. Knows they have strong relationships,2026-07-29-highway-12-notes.md,
H12-2026-07-29,2026-07-29,Highway 12,not recorded,Tasting-room or DTC manager,1,Alexa Kornau,form-live,W12,"W12. When customers talk to you about their wine buying, what do they say? Tell me about the last few conversations.",consistent: love the wine and can't believe the pricing. Very happy with quality and price of wine,2026-07-29-highway-12-notes.md,
H12-2026-07-29,2026-07-29,Highway 12,not recorded,Tasting-room or DTC manager,1,Alexa Kornau,form-live,SNOW,"Who else should we talk to? If you can, a name and an introduction helps a lot.",There are some but he would have to ask in advance - memebrs of the gallow family ( largest winery in the world) and several wineries and tasting rooms. Prob better to get info from an owner than employee. He will call them,2026-07-29-highway-12-notes.md,
H12-2026-07-29,2026-07-29,Highway 12,not recorded,Tasting-room or DTC manager,1,Alexa Kornau,form-live,W15,W15. Is there anything else you'd like to tell us that you think is relevant for this project,Creating the new club has been exceptional in creating new membership as it broke down barriers to entry.,2026-07-29-highway-12-notes.md,
H12-2026-07-29,2026-07-29,Highway 12,not recorded,Tasting-room or DTC manager,1,Alexa Kornau,form-live,W14,W14. Have you seen any innovations happen either in the wine making process or in the products,Some wineries are experimenting with low alcohol wine. A winery that was making their wine carbonated (carbonated wine - like a seltzer) - there has been a push for lower alcohol wines. They are being consistent at great wine at a great price,2026-07-29-highway-12-notes.md,
H12-2026-07-29,2026-07-29,Highway 12,not recorded,Tasting-room or DTC manager,1,Alexa Kornau,form-live,W13,"W13. If you believe there has been a change in demand, what do you think are the main drivers","Overall average customer is older. Wine is not inexpensive. A lot of younger people aren't making a lot of income aren't spending a lot of money on wine - they drink the seltzers, the spritzers and also the legalization of marijuana could also be competing. People use it ofr various reasons. Wine has been around for a long time. Experiencing a little bump at the oment but nothing pairs better with a meal.

A lot of wineries have increased their tasting pricing - so charging too much for the wine and the visit they may be shooting themselves in the foot. Wine tasting used to be complimentary and now it crept going up in prices. Could be self inflicted",2026-07-29-highway-12-notes.md,
GAL-2026-08-05,2026-08-05,Gallo,not recorded,Finance - Director of sales finance of the western area - whole west and south,1,Alexa Kornau,form-live,W1,"W1. How do this year's total sales and cases sold compare with three years ago, and which moved more?","Things are definitely declining - 2021 and 2022 were post covid peak. Everything was quite inflated and things have been declining. (gallo sells, Wine Spirits and high noon and an little bit in beer) Exception to that has been - spirits has been flat and declined this year, ready to drink has been the only category that's been growing. Wine and beer down. High noon is Gallo's  single serve that's popping but there's also buzzball and others that are comparable non Gallo. The story is that there is a lot of switching in addition tod elines",2026-08-05-gallo-notes.md,date from form submission timestamp
GAL-2026-08-05,2026-08-05,Gallo,not recorded,Finance - Director of sales finance of the western area - whole west and south,1,Alexa Kornau,form-live,W2,"W2. Over those same three years, what happened to your tasting-room visits and to what an average visitor spends?","Gallo has luxury portfolio - napa - rambauer and luis martini, sonoma (J-vineyars). They are definitely down. Her guess pretty dramatically down",2026-08-05-gallo-notes.md,
GAL-2026-08-05,2026-08-05,Gallo,not recorded,Finance - Director of sales finance of the western area - whole west and south,1,Alexa Kornau,form-live,W3,"W3. How has your wine club changed over three years, in both the number of members and the share who renew each year?","Varies across the portfolio.On Lux side have made some changes to the tasting room - what is enough to bring in visitors and what are expensive things that don't move the needle. Like do you need a really fancy tasting menu. Also tried other more epxeriential tactics. Rambauer was really good at developing really strong community with wine club members and had less expensive but successful tactics. Sales teams go out - if they weren't entertaining shops/buyers, they would invite wine club memebrs which created a really strong membership. Help make the product relevant for people. Lot's of partnerhips - celbrity backed brands, pure sports partnership, NFL sponsored by barefoot. Can you treat wine brands as you would historically treat beer or coca cola - making it more engrained in culture. More targeting on Gen-Z not drinking (Legal Drinking Age) - chow to connect to those communities - innovation to target those people.",2026-08-05-gallo-notes.md,
GAL-2026-08-05,2026-08-05,Gallo,not recorded,Finance - Director of sales finance of the western area - whole west and south,1,Alexa Kornau,form-live,W4,"W4. Who buys your wine today, and how is that different from three years ago?","Gen-Z not drinking, appealing to other underserved populations like (gallo found a lot of success with high noon) but no hard seltzers that speak to hispanics. Launched bran called VMC - he partners in and is crushing it - mexican inspired flavors. Very typical wine and spirits label and feeling that wine is hotey totey that is not welcoming to screwtop rose and put ice cubes in it. So more accessible and less barrier to entry. Wine is a few places in the store which is very owerwhelming in the shop. Tetra, beat boxes - a big Genz-wine cooler. Wine based but fruit punch flavors. is growing a ton. canned wine was big for a minute. People didn't like the taste/ feel of wine in can and then you accidentally dirnk half a bottle of wine. Single serve opportunity has not yet been solved and Gallo is betting on those. Going to the movie theatre or sports area. Gallo has acquired a few brands that have been created by Gen-Z (winey baby) - the packaging is approachable and getting rid of the stereotype that it's hotey totey. Sometimes better to lean into the people that are already in that category. Sozu is another big categories among gen Z. Would drink that instead of vodka before going out",2026-08-05-gallo-notes.md,
GAL-2026-08-05,2026-08-05,Gallo,not recorded,Finance - Director of sales finance of the western area - whole west and south,1,Alexa Kornau,form-live,W5,"W5. Have you had club members or regular buyers cancel or drift away recently? If so, what did they tell you when they left?","wine clubs are primarily boomers and you have that generation larger health consciousness and GLP-1s is a major factor for people drinking less and the economics (inflation) - unde rpressure to buy grocieries that they want rather than a wine club. And the cost of visiting - walk in and spend 20 on a tasting and now the average hotel price is really high tasting proces. And if you don't live in california it's just very. Virginia wine country, texas those didn't exist before",2026-08-05-gallo-notes.md,
GAL-2026-08-05,2026-08-05,Gallo,not recorded,Finance - Director of sales finance of the western area - whole west and south,1,Alexa Kornau,form-live,W6,"W6. In the last two years, have you changed any prices, run discounts, or changed your tasting fee? For each change, what happened to volume or visits afterward?",Historically if you look at CPI data - beer gioes up. After covid with all the supply chain issues. Gallo would have way more efficient supply chain than many of the small wineries. Can't absorb the price anymore. Massive glut of wine supply. Not all vineries own vineyards - so you plant what you think the demand will be 5-7 years up front. Things were booming. there is so much excess wine out there. One of the biggest distributors just went out of business and there are so many wineries that are then owed 100s of thousands of dollars that will now go out of business because of that. Arematic blonds are actually still doing well but the heavy red wine - those are still growing 9sancerr - lower ABV aeromatic whites is the area that is doing well,2026-08-05-gallo-notes.md,
GAL-2026-08-05,2026-08-05,Gallo,not recorded,Finance - Director of sales finance of the western area - whole west and south,1,Alexa Kornau,form-live,W11,"W11. Since the 2025 crush, have you changed where you get your fruit, bought any grapes on the spot market, or renegotiated contracts?",They always evaluate where they buy their wine they own some and then buy. Some lower value brands are also making better fruit,2026-08-05-gallo-notes.md,
GAL-2026-08-05,2026-08-05,Gallo,not recorded,Finance - Director of sales finance of the western area - whole west and south,1,Alexa Kornau,form-live,W15,W15. Is there anything else you'd like to tell us that you think is relevant for this project,Silicon Valley Banks Wine report is a good resource. Gallup has studies on consumption. SBV just does good research on wine. IWSR international that put out good reports - maybe some are free and if there are any that are of interest she can pull for us if they cost something,2026-08-05-gallo-notes.md,
WM-2026-07-24,2026-07-24,The Wine Mine,Chuck (last name not recorded),wine reseller,2,"Allison Leow, Alexa Kornau",form-live,E2,"E2. Which price tiers and wine styles are you still taking on, and what have you delisted in the past three years and at what price points?","Had been selling 15, now more 20-25 but they also see that people want to offset that
With Tarriffs been all over the map how different distributors and wineries have been dealing with it. Fuel surcharges, line item tarriff on an invoice is also something. Ratcheting up the MRSP - any chase that was 100 is not 120 kind of thing",2026-07-24-wine-mine-chuck-notes.md,
WM-2026-07-24,2026-07-24,The Wine Mine,Chuck (last name not recorded),wine reseller,2,"Allison Leow, Alexa Kornau",form-live,E3,"E3. Have you seen any shared or regional marketing effort actually move visits or sales? If so, what were the numbers?","Haven't seen any. Closest they've come is having a wine maker or sales rep fpr a winery come in and really dig into. For example Sake, recently tasted that. We usually flag the wines that they for tastings then those usually sell out. Don't get a lot of targeted marketing stuff. More national newsletters that do that. How have themarketing efforts changed at wine mine - dipping toe in water with uber eats. Don't know how the sales are going on that. Still foguring out what they want to do with that. It feels like they could show something like recent satursday tastings - more task oriented rather than type of wine. as that gets tricky fast. Classifications can go wrong.  Categories they've been playing around with: this is what we tasted last sat, this is what we do this week. Sometimes themes, rose tastings in the summer etc. A lot of their inventory is online and it's not easy to maintain but figuring out ways to do that that would be useful to people and not drive them crazy",2026-07-24-wine-mine-chuck-notes.md,
WM-2026-07-24,2026-07-24,The Wine Mine,Chuck (last name not recorded),wine reseller,2,"Allison Leow, Alexa Kornau",form-live,E4,"E4. For a small Sonoma winery, who actually decides whether its wine gets on a shelf, a wine list, or a visitor's itinerary?","Almost always they are intro'd through sales rep or distributor or somewhere between those lines. Sometimes also purchase directly from small local wineries where it is not as honourus to throw 10 cases into the jeep and bring them over. Usually it's sales reps however. First they taste the wine and check whther it is good. When would they charge us, when ould we list this. In theor 30s we have to get really picky - it's difficutl for them re-sell/ limited shelf space for anything above 30 (resell value).",2026-07-24-wine-mine-chuck-notes.md,
WM-2026-07-24,2026-07-24,The Wine Mine,Chuck (last name not recorded),wine reseller,2,"Allison Leow, Alexa Kornau",live-notes,EXTRA,"""How has business changed here over the last few years, in both how many people come in and what they spend?""","Not much change sin demand from last year but from the last 2,3,4 years that ticket price has changed - usually they would’ve bought a case for example, not more the tote bags.
People were starting to dip into their cellars when they couldn’t go out
That was true in the late 2000s and that was definitely true duringt he pandemic
Behaviors have changed. Most of the wines don’t last a week.
(Splits traffic from ticket, same fork as the winery questions, at the retail level.)",2026-07-24-wine-mine-chuck-notes.md,
WM-2026-07-24,2026-07-24,The Wine Mine,Chuck (last name not recorded),wine reseller,2,"Allison Leow, Alexa Kornau",live-notes,EXTRA,"""You run a wine club here too. How has membership and renewal moved over the last few years?"" (Direct-to-consumer/retail-club parallel to the winery club question, W3.)",They are fairly steady state. A couple of people in a month might say they want to postpone but also do a couple of sign ups. When the club started the general goal was to do 6 bottles to 70-80 and now they really try and keep it to under 100. Things have it more expensive and it’s difficult to find a reliable 15-20 dollar bottle. Get a better price for the club. Enough consistent MoM business. Almost no overhead for them. Delivers value to people,2026-07-24-wine-mine-chuck-notes.md,
WM-2026-07-24,2026-07-24,The Wine Mine,Chuck (last name not recorded),wine reseller,2,"Allison Leow, Alexa Kornau",live-notes,EXTRA,Have any new products been taken on/ released recently (from wineries or otherwise) that you are now selling,"Sake, up the sake inventory by a handful of items - have about a dozen. At least one big Sake plant in berkeley actually - veru inexpensive to doa  tour and a tasting.
Gluten free beer - have a gluten free bakery next doo and people asked  for gluten free beer all the time
Acohol free wines an cocktails - was seasonal and now keep them. They usually have someone come in daily - more than they would have stocked 3-4 years ago, then seasonal now always. Of the NA options the cocktails as well as the de-alcoholied wine but the wine is usually not great but there is one served chilled is actually ok
Sparkling tea as well - hibiskus and bubbles
Actually water has been around  the whole
Chocolate and tinned fish as well - snacks and tinned fish is having a bit of a moment. Chocolate and red wine",2026-07-24-wine-mine-chuck-notes.md,
WM-2026-07-24,2026-07-24,The Wine Mine,Chuck (last name not recorded),wine reseller,2,"Allison Leow, Alexa Kornau",live-notes,EXTRA,Which other products do you have to compete with?,"Hard seltzers, kombucha, pre-mix cocktails
The wine industry is getting ready to panic
Still feels likeit’s a definite downturn and it is taking away
Other downturns: 2008-2010 as the economic calamity started in 2007 that was
Looking upward in the supply chain. Are they now going to go in and rip out old vines. No surprise why there will be a 3-5 year lag - it takes 3-5 years to get any fruit off a new vine",2026-07-24-wine-mine-chuck-notes.md,
WM-2026-07-24,2026-07-24,The Wine Mine,Chuck (last name not recorded),wine reseller,2,"Allison Leow, Alexa Kornau",live-notes,EXTRA,Any innovation;,"One of the last big rounds of innovation was in packaging (branco wine company) - minimize glass in a bottle, weight, transportation cost - were able to cut out tons of weight out of
Tetra pack now
Can get cans now
Bag ina box
Seen a resurgence in that to minimize carbon footprint
From a product perspective tehre is always something new: The unapologetic blending of red and white wine - something new,novel and fun that you can already produceand not charge an arm and a leg for
Broader climate change situation - without a doubt can now grow grapes in places where you couldn’t - like england
Now also sometimes gets too hot in places
Continuation from covid, then had huge wildfires - lots of crop loss, half the grapes, some changes to .",2026-07-24-wine-mine-chuck-notes.md,
WM-2026-07-24,2026-07-24,The Wine Mine,Chuck (last name not recorded),wine reseller,2,"Allison Leow, Alexa Kornau",live-notes,EXTRA,"What does the competition look like changing, growing.","Maybe best to ask someone in the restaurant industry
For example sonoma you get wines from local wine, don’t know
Regions are brand recognition
People usually have their favorite stuff and know",2026-07-24-wine-mine-chuck-notes.md,
WM-2026-07-24,2026-07-24,The Wine Mine,Chuck (last name not recorded),wine reseller,2,"Allison Leow, Alexa Kornau",live-notes,EXTRA,Are Tarriffs changing the demand for Sonoma/ regional wines at all,"But now the fuel is also a consideration
Could be some re-distribution
Could maybe find some research and reporting on that? ACTION ITEM",2026-07-24-wine-mine-chuck-notes.md,action-item: find tariff research
WM-2026-07-24,2026-07-24,The Wine Mine,Chuck (last name not recorded),wine reseller,2,"Allison Leow, Alexa Kornau",live-notes,EXTRA,How do regional distributor organize:,It’s usually the larger distributors fairly high density of wine shops here -,2026-07-24-wine-mine-chuck-notes.md,
WM-2026-07-24,2026-07-24,The Wine Mine,Chuck (last name not recorded),wine reseller,2,"Allison Leow, Alexa Kornau",live-notes,SNOW,Could he put me in touch with distributors or,"Chuck will think about it - lots of people have shifted to sierra foothills and Lodi ad
He will take a",2026-07-24-wine-mine-chuck-notes.md,open: Chuck will think about intros
OH-2026-07-27,2026-07-27,OneHope,Justine (last name not recorded),operations manager,2,"unknown, confirm",live-notes,E2,"""Which price tiers and wine styles are you still taking on right now, and what have you delisted in the last year, at what price points?""","Price tiers:
Have wines 20 dollar range to the 1k range
Volume:
Bulk: 60% low to medium
40% high tier wines",2026-07-27-onehope-justine-notes.md,
OH-2026-07-27,2026-07-27,OneHope,Justine (last name not recorded),operations manager,2,"unknown, confirm",live-notes,E4,"""For a small Sonoma winery, who actually decides whether its wine gets on your shelf? Walk me through how a new winery gets in front of you and what makes you say yes or no.""","Website more based off of trends
Low to medium tier is based off of trends
Top 10 wines in that channel are the top 10 of the past 10 years",2026-07-27-onehope-justine-notes.md,
OH-2026-07-27,2026-07-27,OneHope,Justine (last name not recorded),operations manager,2,"unknown, confirm",live-notes,E1,"E1. Compared with 2023, how much of your fruit is under contract versus sold on the spot market, what prices are you actually getting, and have you pulled any vines?","Membership is what
Any contracted is what we have at the winery
There is a lot of juice on the market right now",2026-07-27-onehope-justine-notes.md,question pasted mid-notes; fragmentary answers
OH-2026-07-27,2026-07-27,OneHope,Justine (last name not recorded),operations manager,2,"unknown, confirm",live-notes,EXTRA,[demand-change],"Over the last 2,3 and 5 years - the demand is changing since 2023 the demand has just dropped
Post covid drinking, Gen Z not drinking, inflation, choosing not to buy a 25 dollar bottle wine like they used to
There is more of a health kick too, during covid people drank a lot",2026-07-27-onehope-justine-notes.md,
OH-2026-07-27,2026-07-27,OneHope,Justine (last name not recorded),operations manager,2,"unknown, confirm",live-notes,EXTRA,"""How has business changed here over the last few years, in both how many people come in and what they spend?""","2 audience groups: direct channel and winery channel. Winery channels spends whatever they want. How much they are spending has increased a little. Things have gone up with spending but direct side is still really flat
Do a lot fo sales during the holidays - also about gifting, not just drinking",2026-07-27-onehope-justine-notes.md,
OH-2026-07-27,2026-07-27,OneHope,Justine (last name not recorded),operations manager,2,"unknown, confirm",live-notes,EXTRA,Have any new products been taken on/ released recently (from wineries or otherwise) that you are now selling,"Which other products do you have to compete with?
Just other brands
Especially in Napa
Highway 29 which winery do they pick when they drive down
Competition is like not drinking
Looking into NA wine options",2026-07-27-onehope-justine-notes.md,
OH-2026-07-27,2026-07-27,OneHope,Justine (last name not recorded),operations manager,2,"unknown, confirm",live-notes,EXTRA,Which innovations have you seen recently in the process of production or in the products being solf by wineries to adapt to changes in demand,"Cans were a hit for a while - during covid was a lot of innovation for small format
How can we get more wine into smaller options
Also just going back
Flavor changes when you bottle it in a different format - not the same",2026-07-27-onehope-justine-notes.md,
OH-2026-07-27,2026-07-27,OneHope,Justine (last name not recorded),operations manager,2,"unknown, confirm",live-notes,SNOW,"""Who else should we talk to, distributors, other shop owners, wineries, especially in Sonoma you deal with directly?"" Ask for a name and an introduction.","She will ask Jake - send her an email and he can connect us with someone
Drygood vendor - makes all the capsules and corks
They would really see the hit
Synopsis of what I want",2026-07-27-onehope-justine-notes.md,open: email Justine for Jake intro; drygoods vendor lead
JAY-2026-08-08,2026-08-08,winery not stated in note,Jay Boberg,not recorded in note,1,"unknown, confirm",live-notes,EXTRA,[demand-drivers] Wine Demand Decline: Systemic Drivers,"Media cycle overstating the trend, but repetition creates its own momentum
GLP-1 drugs (Ozempic etc.) likely the single biggest direct cause of reduced consumption
20-34M Americans have taken them, mostly 40+, historically heavy wine drinkers
White wine decline especially visible
People coming off the drugs still drinking very little: habit broken after 6-9 months
Cannabis gummies also a factor, both as a substitute and because they amplify alcohol’s effect
Skeptical that younger generations are inherently drinking less: no solid data, mostly anecdotal
UK survey showed 18-23 year olds drinking as much as prior generations, just different categories
Fine wine ($50+) audience was always primarily 40-70, so Gen Z decline is largely irrelevant to the segment
Interested in what the research team brings out of it, definitely some smoke, and these systemic things are real",2026-08-08-jay-boberg-notes.md,
JAY-2026-08-08,2026-08-08,winery not stated in note,Jay Boberg,not recorded in note,1,"unknown, confirm",live-notes,EXTRA,[tourism-traffic] Tourism and Tasting Room Traffic,"Willamette Valley foot traffic down vs. 2022-2024; 2025-2026 flat but below prior peak
Theory: post-COVID pent-up demand has shifted back to Europe travel
Napa backlash more acute: tasting fees $75-125, hotels $500-600/night, cabs $175-400+
Napa hotels reportedly cut rates 15-20% in response
45% of Nickel and Nickel revenue comes from tasting room and wine club combined
15% drop in foot traffic has direct downstream impact on club signups and bottle sales",2026-08-08-jay-boberg-notes.md,
